Exoskeleton_Left_Thigh (Ang),Exoskeleton_Left_Thigh (Vel),Exoskeleton_Left_Thigh (Acc),Exoskeleton_Left_Calf (Ang),Exoskeleton_Left_Calf (Vel),Exoskeleton_Left_Calf (Acc),Exoskeleton_Right_Thigh (Ang),Exoskeleton_Right_Thigh (Vel),Exoskeleton_Right_Thigh (Acc),Exoskeleton_Right_Calf (Ang),Exoskeleton_Right_Calf (Vel),Exoskeleton_Right_Calf (Acc),Human_Left_Thigh (Ang),Human_Left_Thigh (Vel),Human_Left_Thigh (Acc),Human_Left_Calf (Ang),Human_Left_Calf (Vel),Human_Left_Calf (Acc),Human_Right_Thigh (Ang),Human_Right_Thigh (Vel),Human_Right_Thigh (Acc),Human_Right_Calf (Ang),Human_Right_Calf (Vel),Human_Right_Calf (Acc),Angle_Driver_LT (Output),Angle_Driver_LC (Output),Angle_Driver_RT (Output),Angle_Driver_RC (Output)
-0.769043,-13.1226,0.195312,0.307617,11.0474,0.0371094,-0.27466,-8.48389,-0.0292969,-0.422971,-7.38525,-0.0463867,91.7249,0.12207,0.0654297,98.042,0.305176,0.0634766,97.5531,0,-0.0117188,96.2762,0.488281,-0.120117,-5.70056,-4.79151,7.31186,0
-0.878906,-14.4653,0.214355,0.549316,10.9863,0.0551758,-0.472414,-10.8643,-0.0322266,-0.703122,-9.64355,-0.0356445,91.7303,0.0610352,0.0615234,98.042,0.305176,0.0634766,97.5531,0,-0.0112305,96.2762,0.488281,-0.120117,-7.07447,-5.88726,6.16011,0
-0.878906,-14.4653,0.214355,0.549316,10.9863,0.0551758,-0.472414,-10.8643,-0.0322266,-0.703122,-9.64355,-0.0356445,91.7303,0.0610352,0.0615234,98.042,0.305176,0.0634766,97.5531,0,-0.0112305,96.2762,0.488281,-0.120117,-7.07447,-5.88726,6.16011,0
-0.878906,-14.4653,0.214355,0.549316,10.9863,0.0551758,-0.472414,-10.8643,-0.0322266,-0.703122,-9.64355,-0.0356445,91.7303,0.0610352,0.0615234,98.042,0.244141,0.0605469,97.5531,0,-0.0112305,96.2762,0.488281,-0.121094,-7.07447,-5.88726,5.96971,0
-0.999756,-15.1367,0.197266,0.681152,10.376,0.065918,-0.620729,-13.4277,-0.0288086,-0.88989,-12.3291,-0.0351562,91.7303,0.12207,0.0634766,98.0475,0.244141,0.0605469,97.5531,0,-0.0112305,96.2817,0.488281,-0.121094,-5.81553,-4.75654,5.33019,0
-0.999756,-15.1367,0.197266,0.681152,10.376,0.065918,-0.620729,-13.4277,-0.0288086,-0.88989,-12.3291,-0.0351562,91.7303,0.305176,0.0634766,98.0475,0.244141,0.0605469,97.5531,0,-0.0112305,96.2817,0.488281,-0.121094,-5.80387,-4.75654,5.33019,0
-1.14258,-15.564,0.16748,0.802002,10.0708,0.0664062,-0.79651,-15.7471,-0.0444336,-1.09863,-14.8315,-0.0380859,91.7303,0.305176,0.0649414,98.0475,0.244141,0.0605469,97.5531,0,-0.0112305,96.2817,0.488281,-0.118652,-5.71061,-4.75654,5.33019,0
-1.14258,-15.564,0.16748,0.802002,10.0708,0.0664062,-0.79651,-15.7471,-0.0444336,-1.09863,-14.8315,-0.0380859,91.7303,0.305176,0.0649414,98.0475,0.244141,0.0625,97.5531,0.0610352,-0.0107422,96.2817,0.488281,-0.118652,-3.78723,-2.79819,5.44287,0
-1.14258,-15.564,0.16748,0.802002,10.0708,0.0664062,-0.79651,-15.7471,-0.0444336,-1.09863,-14.8315,-0.0380859,91.7303,0.305176,0.0649414,98.0475,0.244141,0.0625,97.5531,0.0610352,-0.0107422,96.2817,0.427246,-0.118652,-3.78723,-2.79819,5.44287,0
-1.14258,-15.564,0.16748,0.802002,10.0708,0.0664062,-0.79651,-15.7471,-0.0444336,-1.09863,-14.8315,-0.0380859,91.7358,0.305176,0.0649414,98.0475,0.244141,0.0625,97.5531,0.0610352,-0.0107422,96.2817,0.427246,-0.118652,-3.78174,-2.79819,5.43738,0
-1.30188,-15.686,0.16748,0.802002,10.6201,0.0527344,-0.988771,-17.395,-0.0610352,-1.30737,-16.9067,-0.0576172,91.7358,0.305176,0.0649414,98.0475,0.244141,0.0625,97.5531,0.0610352,-0.0107422,96.2817,0.427246,-0.118652,-3.78174,-2.79819,5.43738,0
-1.65344,-16.0522,0.187988,1.203,14.5874,0.0576172,-1.41174,-18.6768,-0.0439453,-1.72485,-18.6157,-0.0698242,91.7358,0.0610352,0.0600586,98.064,0.183105,0.0595703,97.5476,-0.244141,-0.0141602,96.2982,0.549316,-0.125,-5.38261,-4.31519,5.53546,0
